Sample ID,Total Biomass,Fungi Richness,Bact Richness,Bact Diversity,DOC,DOC_cont
100_A,232.645161290323,29,99,2.952329,High,9.375
100_B,273.066666666667,24,70,2.575167587,High,13.71
100_C,421.933333333333,12,63,2.539701297,High,10.835
101_B,398.206896551724,25,70,3.061505664,High,13.96
101_C,459.586206896552,21,95,3.438615724,High,9.335
103_B,584.896551724138,22,90,3.033275731,High,7.21
103_C,506.193548387097,17,70,2.918966765,High,10.625
104_C,474.6,36,104,3.467116262,High,6.21
105_A,158.206896551724,18,98,3.425660152,High,9.585
105_B,171.931034482759,21,97,3.250662199,High,7.79
106_A,555.51724137931,34,128,3.452588516,Low,5
106_B,434.866666666667,46,146,3.612375744,Low,5.21
106_C,582.4,39,167,3.932867562,Low,5.96
109_A,402.533333333333,25,140,3.795976349,Low,5.625
109_C,684,33,143,3.798384358,Low,6.165
110_A,393.4,35,195,4.140164362,Low,5.375
110_B,556.666666666667,44,182,3.874951514,Low,5.75
111_A,452.4,30,127,3.645071049,High,14
111_B,520.066666666667,18,145,4.06354718,High,7.415
111_C,691.034482758621,18,107,3.243336096,High,6.415
113_A,604.689655172414,32,124,3.761622592,High,8.585
113_B,625.724137931035,40,128,3.467617132,High,6.375
113_C,133.666666666667,26,117,3.939755502,High,10.415
115_C,375.0625,33,123,3.51042776,High,6.21
116_A,244.137931034483,25,110,3.337491814,High,8.085
116_C,285.741935483871,22,74,2.86297707,High,10.75
117_A,512.827586206897,35,90,2.715836617,High,10.79
117_B,595.931034482759,16,69,2.586740727,High,10.835
117_C,395.066666666667,25,105,3.12687292,High,8.875
118_B,320.451612903226,23,102,3.670696143,High,17.04
118_C,563.172413793104,18,76,2.809956246,High,12
120_A,3743.93333333333,12,161,3.846427084,Low,7.835
120_B,559.6875,18,151,3.781576194,Low,6.875
120_C,238.866666666667,8,157,3.864391392,Low,5.335
121_B,828,17,86,2.742933449,High,5.04
121_C,602.9375,27,94,2.696209558,High,5.835
122_A,839.533333333333,20,70,2.878732921,Low,10.46
122_B,751.161290322581,13,101,3.410990564,Low,11.79
122_C,571.793103448276,23,92,2.777818073,Low,7.625
12_A,777.225806451613,22,83,3.16508749,High,7.085
12_B,469.4,13,103,3.299216954,High,5.665
12_C,862.533333333333,19,99,3.215614681,High,5.29
130_A,359.6,22,118,3.476426167,High,9.96
130_B,362.827586206897,22,110,3.332733624,High,10.875
130_C,267.870967741935,34,130,3.45028846,High,10.625
131_A,880.6875,23,135,3.486774676,Low,3.75
131_B,740.551724137931,32,157,3.53072971,Low,4.25
131_C,792.551724137931,35,147,3.750638009,Low,3.54
133_A,151.533333333333,17,85,3.134086774,High,7.5
133_B,515.51724137931,21,99,3.30887083,High,9.79
133_C,320.866666666667,22,104,3.52051997,High,10.25
134_A,684.064516129032,10,113,3.285749237,Low,3.375
134_B,484.1875,10,108,3.221836449,Low,5.21
134_C,627.8125,11,129,3.608118076,Low,3.46
135_A,509,38,109,3.538464761,Low,4.54
135_C,749.4375,25,123,3.617251921,Low,5.21
136_A,470.466666666667,20,94,3.329745788,High,11.375
136_B,358.387096774194,21,136,3.441327007,High,9.71
136_C,373.866666666667,18,105,3.381573884,High,8.625
137_A,610.8,54,204,4.209433698,Low,3.04
137_C,650.466666666667,46,170,3.85163108,Low,4.54
138_A,521.448275862069,36,191,4.228003405,Low,4.165
138_B,400.689655172414,37,200,4.29742466,Low,4.415
138_C,312.181818181818,22,180,4.114082567,Low,3.46
139_B,901.806451612903,45,162,3.857324128,Low,5.04
139_C,848.965517241379,27,171,4.216791012,Low,5.46
141_A,434.413793103448,30,102,3.28719971,High,11.21
141_B,518.193548387097,37,92,3.162970435,High,10.335
141_C,404.344827586207,41,104,3.576983693,High,9.665
142_A,486.48275862069,15,164,4.259529771,Low,4.71
142_B,780.375,15,162,4.123660191,Low,4.21
142_C,508.1875,21,182,4.276647452,Low,4.165
151_A,964.6875,27,143,3.837884844,Low,3.75
151_B,965.266666666667,22,123,3.482390237,Low,4.25
152_A,1083.22580645161,24,110,2.859756283,Low,5
152_B,1361.93103448276,18,105,2.776572778,Low,4.625
152_C,1109.75,19,132,3.063540426,Low,4.04
155_A,898.068965517241,22,87,3.288804207,High,9.25
155_B,931.9375,20,118,3.628708228,High,10.835
155_C,1269.8125,25,136,3.582602662,High,11.375
156_A,1379.74193548387,24,97,3.389129482,High,9.46
156_B,1107.65517241379,41,105,3.426565475,High,10.125
156_C,867.612903225806,31,98,3.308363958,High,10.75
157_A,921.870967741936,22,170,4.059550627,Low,5.71
157_C,827.793103448276,23,200,4.265207023,Low,4.25
159_A,391.266666666667,48,133,3.783435612,Low,6.04
159_C,453.69696969697,23,162,3.910385753,Low,6.54
160_A,675.666666666667,28,106,3.431715446,High,9.085
160_B,618.275862068966,37,88,3.328916429,High,8.46
160_C,1254.27586206897,18,96,3.368097259,High,9.165
161_A,427.51724137931,34,118,3.399413866,High,10.915
161_B,1288.9375,30,94,3.498337391,High,9.165
161_C,458,45,126,3.810665933,High,8.125
162_A,981.8,25,110,3.471681881,Low,5.96
162_B,744.866666666667,20,108,3.515457035,Low,5.835
162_C,774.5,23,115,3.39226052,Low,5.75
165_A,775.357142857143,26,101,3.103353321,Low,5.165
165_B,611.483870967742,29,105,3.554175302,Low,5.79
165_C,444,35,98,3.84077889,Low,6.04
166_B,932.75,12,85,3.064796628,Low,5.29
166_C,927.172413793103,19,98,2.849679826,Low,5.375
169_A,403.2,15,86,3.10898016,High,13.46
169_B,605.878787878788,17,66,2.484989631,High,11.835
169_C,384.848484848485,19,83,2.928756366,High,13.625
170_A,857.875,11,125,3.223312649,Low,5.165
170_B,691.51724137931,7,125,3.421929678,Low,4.5
170_C,718.285714285714,10,130,3.694325044,Low,4.46
174_A,595.741935483871,16,85,2.849411907,High,9.54
174_B,864.838709677419,7,100,2.91130883,High,8.71
174_C,1107.26666666667,24,78,2.709382423,High,9.375
175_A,742.827586206897,5,53,2.134793242,High,16
175_B,451.470588235294,9,65,2.632451106,High,13.54
175_C,672.4,14,71,2.501293387,High,10.875
177_A,894.125,27,61,2.26358002,High,11.835
177_B,532.5625,30,61,2.221627537,High,12.04
177_C,693.1875,35,65,2.657905712,High,11.25
178_A,1024.25806451613,10,89,2.934568684,High,8.085
178_B,514.125,20,78,2.500342353,High,12.335
178_C,479.9375,26,55,1.833256999,High,13.335
179_A,896.516129032258,24,92,2.648168283,High,8.835
179_B,832.838709677419,27,70,2.184291234,High,8.415
179_C,603.333333333333,27,85,3.200957331,High,10.125
180_A,856.866666666667,19,107,3.375894282,High,13.79
180_C,786.6,20,92,3.086575924,High,12.75
181_A,706.2,28,66,2.217089692,High,5.915
181_B,223.51724137931,24,67,2.750680591,High,5.04
181_C,616.6,19,70,2.331383031,High,13.125
183_A,596.787878787879,20,102,3.333357518,Low,8.415
183_B,731.0625,22,96,3.113015007,Low,11.335
184_A,877.935483870968,17,70,2.894058477,High,7
184_B,591.533333333333,23,73,2.835281101,High,6.125
185_A,1425.37931034483,10,76,2.932739621,Low,6.415
185_B,1130.33333333333,22,82,2.948664617,Low,5.875
185_C,1132.77419354839,27,103,3.25886648,Low,6.125
189_A,444.242424242424,25,125,3.369938634,Low,13.375
189_B,640.965517241379,30,108,3.129413566,Low,12.71
189_C,596.666666666667,21,134,3.595998731,Low,12.71
18_A,294.9375,19,46,2.395732703,High,8.75
18_B,513.666666666667,15,50,2.175394351,High,9.085
18_C,375.333333333333,9,45,2.504031927,High,12.5
191_A,768.848484848485,28,156,3.955445001,Low,4.25
191_B,405.862068965517,36,155,3.614733045,Low,4.29
191_C,856.909090909091,29,167,3.918279499,Low,3.54
194_A,1023.46666666667,28,155,3.607923694,Low,5.335
194_B,826.533333333333,28,126,3.635441242,Low,5.46
194_C,708.068965517241,40,160,4.108423651,Low,5.165
195_A,475.103448275862,33,107,3.187235636,Low,16.04
195_B,700.125,27,86,3.007140869,Low,6.04
195_C,694.363636363637,31,99,3.116724775,Low,5.415
198_C,120.466666666667,23,53,2.420625394,High,4.415
199_A,603.6875,46,136,3.871942473,Low,5.125
199_B,754.645161290323,36,106,3.165734019,Low,8.665
199_C,1176.9375,49,110,3.491693168,Low,4.585
19_A,389.096774193548,20,147,3.80908043,Low,4.415
19_B,333.533333333333,17,163,3.908679802,Low,5.125
19_C,773.677419354839,24,131,3.540138936,Low,4.415
200_A,514.387096774194,25,120,3.360324713,Low,5.71
200_B,1030.53333333333,26,94,2.945604333,Low,6.085
200_C,552.787878787879,28,117,3.129422695,Low,3.46
201_A,1081.31034482759,23,134,3.509292568,Low,3.665
201_B,505.75,24,126,3.470354516,Low,3.96
201_C,952.206896551724,43,118,3.625676104,Low,4.415
202_A,699.030303030303,30,162,4.115023719,Low,5.585
202_B,1030.6875,33,141,3.803920131,Low,5.915
202_C,617.310344827586,26,167,3.891076827,Low,3.29
203_A,631.133333333333,36,129,3.789733778,Low,5.585
203_B,517.25,23,131,3.623965608,Low,4.415
203_C,440.066666666667,24,130,3.748221266,Low,4.415
204_A,756.903225806452,23,105,3.226178345,High,8.46
204_B,688.545454545455,24,92,3.315728698,High,10.75
205_B,797,16,108,3.584829025,High,9.96
205_C,479.533333333333,34,102,3.336471013,High,11.415
206_C,534.064516129032,26,68,1.933507774,High,9.875
208_A,789.939393939394,23,143,4.006137546,Low,5.29
208_C,794.709677419355,28,107,2.962647427,Low,5.335
209_A,1023.03448275862,20,111,3.254190953,Low,4.625
209_B,1372.73333333333,17,90,3.208539777,Low,3.79
209_C,1035.03225806452,24,90,3.047125121,Low,4.375
210_A,664.787878787879,33,125,3.382109641,Low,5.96
210_B,977.310344827586,34,104,2.98131323,Low,5.165
210_C,868.8,24,105,3.403446104,Low,5.29
213_A,785.548387096774,13,121,2.870068254,Low,13.75
213_B,865.310344827586,24,131,3.522267483,Low,17.665
213_C,828.375,38,119,3.535462945,Low,7.585
216_A,860.774193548387,28,86,2.296552423,Low,5.125
216_B,545.6,23,101,2.898048664,Low,4.835
218_B,975.290322580645,28,97,3.249966405,Low,9.915
218_C,834.193548387097,36,96,2.732863949,Low,9.915
21_A,852.6,42,66,2.566312118,High,5.835
21_B,281.375,19,89,2.910218436,High,5.415
21_C,574.193548387097,15,79,2.625368704,High,7.75
22_B,231.666666666667,15,69,2.904344901,High,9.71
22_C,433.034482758621,8,86,2.99660146,High,9.585
25_A,436.387096774194,23,134,3.810368692,High,17
25_B,696.333333333333,13,89,3.155845118,High,6.71
25_C,341.870967741935,15,138,4.004321446,High,8
26_A,645.096774193548,18,126,3.782531795,Low,5.79
26_B,859.0625,21,132,3.377953893,Low,5.875
26_C,684.133333333334,20,154,3.773360045,Low,5.04
28_A,517.933333333333,21,85,2.801697664,High,17.125
28_B,756.967741935484,14,118,3.264621691,High,6.665
29_A,276.689655172414,16,117,2.734767011,High,11
29_C,570.733333333333,9,74,2.189780984,High,9.335
31_A,615.51724137931,22,122,3.097535672,High,5.585
32_B,652.5,21,153,3.823579696,Low,6.835
32_C,438.266666666667,11,126,3.776213312,Low,5.75
34_B,575.733333333333,18,160,4.019689431,Low,4.625
37_B,841.161290322581,15,171,4.051420245,Low,6.21
38_A,946.516129032258,16,87,2.946602238,High,9.29
38_C,568.733333333333,20,147,4.037650029,High,9.21
41_A,115.034482758621,24,145,3.803879929,High,8.085
42_B,544.466666666667,28,193,4.343818567,Low,6.25
44_A,659.172413793104,24,123,3.703238244,High,8.165
44_B,695.806451612903,16,105,3.359144648,High,7.625
46_C,506.516129032258,16,84,2.790630875,High,8
48_B,532.258064516129,18,168,3.931432388,Low,4.375
49_B,534,18,130,3.704314508,Low,5.375
51_B,678.58064516129,26,210,4.415106324,Low,4.875
51_C,472.6,20,170,4.247258841,Low,5.375
52_A,445.133333333333,12,173,4.221927438,Low,5.375
52_C,873.225806451613,26,145,4.065179706,Low,4.875
54_B,767.310344827586,14,185,4.296531443,Low,3.585
54_C,673.448275862069,30,174,3.956746302,Low,5
56_A,497.625,19,167,4.07122557,Low,5.71
56_B,469.666666666667,23,194,4.541047228,Low,5.75
57_A,1144.06666666667,18,160,4.020434081,Low,6.46
57_B,819.034482758621,35,194,4.212181222,Low,6.54
57_C,391.4,12,137,3.521883411,Low,6.46
59_A,689.466666666667,10,136,3.813007512,Low,6.415
59_C,940.6875,12,122,3.831437374,Low,6.75
64_A,551.677419354839,10,128,3.35179219,Low,17.21
64_B,555.225806451613,16,172,4.121056589,Low,12.71
64_C,431,14,166,3.903275026,Low,10.665
6_A,423.612903225806,19,67,2.946649125,High,6.125
6_B,503.25,11,58,2.663674973,High,5.835
6_C,377.724137931035,14,95,3.520669578,High,7.335
70_A,549.41935483871,10,137,3.22648947,Low,5.125
70_B,646.551724137931,10,144,3.930846231,Low,6.165
72_B,501.2,13,128,3.701316787,High,8.79
72_C,446.266666666667,10,132,3.561513259,High,11.415
77_B,699.935483870968,18,174,3.965708223,Low,5.915
77_C,565.931034482759,11,134,3.867031162,Low,5.96
78_B,641.483870967742,11,134,3.681844093,Low,5.875
78_C,234.4,14,163,4.099972758,Low,4.915
79_A,353.379310344828,20,121,3.469736531,High,9.25
80_B,845.25,9,115,3.215404499,High,9.915
80_C,500.064516129032,12,129,3.869200337,High,10.5
81_A,190.451612903226,14,88,3.550128103,High,13.125
81_B,421.266666666667,10,126,3.46502844,High,11.625
82_A,346.258064516129,18,101,3.083674266,High,8.335
82_C,333.161290322581,12,129,3.136322181,High,4.96
83_A,265.870967741935,21,136,3.593887035,High,6.915
83_C,401.034482758621,24,104,3.456338911,High,6.085
85_A,680.620689655173,20,160,4.171511164,Low,5.71
85_B,502,28,145,4.16022951,Low,5.665
85_C,649.448275862069,17,145,3.859910786,Low,4.29
88_A,1086.33333333333,17,129,3.677504927,Low,3.75
88_B,714,24,140,4.09128269,Low,6.25
89_A,1448.38709677419,22,176,3.679332917,Low,11.585
89_B,1857.41935483871,13,138,3.639221249,Low,11.375
89_C,301.333333333333,13,167,4.098464046,Low,10.46
8_A,855.333333333333,42,57,2.392032222,High,8.375
8_B,853.677419354839,45,57,2.366391902,High,7.29
8_C,437.655172413793,35,82,2.846896374,High,10.585
90_A,576.266666666667,14,176,4.017380428,Low,5.04
90_B,512,14,143,3.374316976,Low,5.625
90_C,415.677419354839,11,120,3.255653493,Low,6.21
91_A,426.322580645161,17,128,3.011733775,Low,5.875
91_B,604.48275862069,28,138,3.691055919,Low,5.5
91_C,1267.10344827586,43,99,3.489831362,Low,6.21
92_A,755.733333333333,33,166,4.174803626,Low,4.25
92_B,633.483870967742,29,170,4.377532882,Low,4.915
96_A,580.733333333333,8,83,2.78992604,High,9.54
96_B,296.827586206897,7,88,3.090911137,High,9.25
97_A,713.533333333333,17,156,3.862819721,Low,5.5
97_B,834.48275862069,23,142,3.617672945,Low,5.335
97_C,381.375,19,158,3.755165199,Low,6.04
98_B,520.206896551724,13,65,3.098561566,High,14.375
99_A,335.8,25,92,3.004293477,High,10
99_B,640.344827586207,22,117,3.30840822,High,6.125
99_C,460.709677419355,32,118,3.407077834,High,8.835
